index,type,metre,text
0,test,J,"""Tvá loď jde po vysokém moři,"""
1,test,J,"""v ně brázdu jako stříbro reje,"""
2,test,J,"""svou přídu v modré vlny noří"""
3,test,J,"""a bok svůj pěnné do peřeje."""
4,test,J,"""Tvá lana sviští, plachty duní"""
5,test,J,"""a třepe vlajka. V noční chvíli"""
6,test,J,"""zříš magický svit mořských tůní,"""
7,test,J,"""a ve snu, Albatros jak pílí."""
8,test,J,"""Já samotním, jsem na ostrově,"""
9,test,J,"""ohýnek topím, rybku lově"""
10,test,J,"""zasedám na břeh za večera."""
11,test,J,"""Dým v kotoučích se modrých krade,"""
12,test,J,"""kdes písklo ptáče, ještě mladé,"""
13,test,J,"""tma na mne hrozí z pološera."""
14,test,J,"""Už míza naplňuje stonky,"""
15,test,J,"""už přišly modré anemonky,"""
16,test,J,"""a na mezích se posadily"""
17,test,J,"""drobounké žluté potentilly."""
18,test,J,"""Stařenka pod boží si muka"""
19,test,J,"""zasedla, její svadlá ruka"""
20,test,J,"""fijalku, letos první, drží,"""
21,test,J,"""již pod panskou dnes našla strží."""
22,test,J,"""A vnoučata si sedla stranou,"""
23,test,J,"""majíce knížku malovanou,"""
24,test,J,"""v ní hledají ty ptáčky, včely,"""
25,test,J,"""co přijdou, prý, až po neděli."""
26,test,J,"""Zavýsknul někdo v hloubi lesa"""
27,test,J,"""a větřík ozvuk dále nesa"""
28,test,J,"""dech’ do studánky v tichém houští"""
29,test,J,"""a na pavouka, jenž se spouští."""
30,test,J,"""A zase ticho po vůkolí."""
31,test,J,"""Sem tam přelétne ptáče poli,"""
32,test,J,"""sem tam si moucha pozabzučí."""
33,test,J,"""A přece všecko vůkol pučí."""
34,test,J,"""A přec se květy všude strojí"""
35,test,J,"""jaks tajně jako pod závoji –"""
36,test,J,"""vše tiché, jako píseň třtiny,"""
37,test,J,"""vše jemné jako pavučiny,"""
38,test,J,"""jak první kadidlová vůně"""
39,test,J,"""se rodí v obětnice lůně,"""
40,test,J,"""když oběť zapaluje čile"""
41,test,J,"""mladinká kněžka v říze bílé."""
42,test,J,"""Už jaro výskalo si na potkání,"""
43,test,J,"""kosové pěli ze zelených strání;"""
44,test,J,"""už mlíčí pozlatilo každou mezi"""
45,test,J,"""a přes ploty se usmívaly bezy –"""
46,test,J,"""a v tom se jaro na smrt rozestoná!"""
47,test,J,"""Jak možno to? Nu, slyšte, kdo to koná."""
48,test,J,"""Jeť Zima na útěku ku severu."""
49,test,J,"""Tré čarodějův, zlomyslných věru,"""
50,test,J,"""co sedí v zadu na posledních saních,"""
51,test,J,"""se ohlédlo a vidí jara světlo."""
52,test,J,"""I setřásli, co ještě mrazu na nich."""
53,test,J,"""A hned se zarazilo vše, co zkvetlo,"""
54,test,J,"""tři dni je šedě zamračeno nebe,"""
55,test,J,"""na horách jíní, v údolí to zebe."""
56,test,J,"""Ovocné stromy v zeleni své chladné,"""
57,test,J,"""jich sněhobílý květ, jenž mrazem vadne,"""
58,test,J,"""těch barev spolu dvé – je pohled krutý."""
59,test,J,"""Tak vypadají rozmarinek pruty,"""
60,test,J,"""jež spjaty jsouce v lesklé bílé stužky"""
61,test,J,"""voskových svící smutnou tvoří zdobu,"""
62,test,J,"""když řada mládenců a jejich družky"""
63,test,J,"""ven z města za rakví jdou k hrobu."""
64,test,J,"""Jen kosův radost tím se neutlumí,"""
65,test,J,"""vždyť slunce zase dokáže, co umí."""
66,test,J,"""Teď slunce prošlo poledníkem,"""
67,test,J,"""dal znamení, a tímže mžikem"""
68,test,J,"""stroj na hvězdárně hlásí polední."""
69,test,J,"""A hodiny už bijou s věží"""
70,test,J,"""a zvony zvoní, z dílen běží"""
71,test,J,"""tisíce lidí, čas je obědní."""
72,test,J,"""A mistr z hvězdárny se dívá,"""
73,test,J,"""jej upoutala směs ta živá"""
74,test,J,"""a zamyslil se vážně na chvíli."""
75,test,J,"""Ach, jak ta zeměkoule letí"""
76,test,J,"""do prázna, rychle nad ponětí,"""
77,test,J,"""s ní boly, žaly – vše má na píli."""
78,test,J,"""Kdo s pevného by patřil bodu,"""
79,test,J,"""zřel zem by jako kouli v hodu,"""
80,test,J,"""jak mizí před ním v nebes hluboku."""
81,test,J,"""Tak u moře kdož jednou stáli,"""
82,test,J,"""viděli, jak se ztrácí v dáli"""
83,test,J,"""loď plná zbičovaných otroků."""
84,test,J,"""Skal nebetyčných shluky, řady,"""
85,test,J,"""jež vystupují z pásma lesů,"""
86,test,J,"""jak pevnosti, jak domy, hrady,"""
87,test,J,"""ta spousta hrotů, stěn a tesů"""
88,test,J,"""plá ohněm. Hoří západ celý,"""
89,test,J,"""i skrytý kout je uzardělý."""
90,test,J,"""Na straně východní je všade"""
91,test,J,"""jen stín. Do modře tmavé, syté"""
92,test,J,"""se skála, hřbet a propast klade"""
93,test,J,"""i v nebe samo modro vpité."""
94,test,J,"""Snad rozlítly se barvy duhy:"""
95,test,J,"""tam zlaté, sem šly modré pruhy."""
96,test,J,"""Na podzim takto Alpy hoří,"""
97,test,J,"""když slunce k západu se chýlí,"""
98,test,J,"""by utonulo někde v moři"""
99,test,J,"""tam za zeměmi, na sta mílí."""
100,test,J,"""Už zašlo. Barvy rudé vadnou,"""
101,test,J,"""jak litiny kdy žhavé chladnou."""
102,test,J,"""Teď hustá leze cestou bludnou"""
103,test,J,"""tma z údolí se kradouc vzhůru"""
104,test,J,"""a drahou lidem nikdy schůdnou"""
105,test,J,"""se dostává až ke azuru;"""
106,test,J,"""hor hřbetů chytila se němě,"""
107,test,J,"""kde ostrá mez je nebes, země."""
108,test,J,"""Jak mozkem myšlénky se blysknou,"""
109,test,J,"""tak z nebe hvězdy vyskakují,"""
110,test,J,"""sem tam i v hustém sboru trysknou,"""
111,test,J,"""jak rosné kapky z mechu v sluji."""
112,test,J,"""Už nebe plno. Slávou odín"""
113,test,J,"""kruh šine hvězd se během hodin."""
114,test,J,"""Jak opat v bílém pluviále,"""
115,test,J,"""kdy monstranci nad hlavu zdvíhá,"""
116,test,J,"""se nad ledákem bílým stále"""
117,test,J,"""roj hvězdic třepetavě míhá;"""
118,test,J,"""však za hodinu – jak by včely"""
119,test,J,"""do modra z oulu vyletěly."""
120,test,J,"""Tam mezi dvěma skaliskama"""
121,test,J,"""se jakás rudá hvězda sadí"""
122,test,J,"""a pomalu se šine sama,"""
123,test,J,"""jak pochodeň jde přes podhradí;"""
124,test,J,"""teď zašla za černými srázy"""
125,test,J,"""jak strážce, dvůr jenž obechází."""
126,test,J,"""I večernice, hvězda snílků,"""
127,test,J,"""se v tichém toku nese dolů,"""
128,test,J,"""na hřbetě hory čeká chvilku,"""
129,test,J,"""pak zajde. Vždyť tam v dolech spolu"""
